artist,album,rating,review_link,info_link
Cheekface,Too Much to Ask,80,https://youtu.be/le_0jyqCXFU,https://www.albumoftheyear.org/album/531804-cheekface-too-much-to-ask.php
Beabadoobee,Beatopia,70,https://youtu.be/LBQDuTn6T0c,https://www.albumoftheyear.org/album/481211-beabadoobee-beatopia.php
Meridian Brothers,Meridian Brothers & El Grupo Renacimiento,80,https://youtu.be/tGClvgTCrIY,https://www.albumoftheyear.org/album/533050-meridian-brothers-meridian-brothers-el-grupo-renacimiento.php
Beyoncé,RENAISSANCE,80,https://youtu.be/xY5RyjaQJCE,https://www.albumoftheyear.org/album/515536-beyonce-renaissance.php
DOMi & JD Beck,NOT TiGHT,70,https://youtu.be/RKf3ppfFUkg,https://www.albumoftheyear.org/album/518025-domi-jd-beck-not-tight.php
Chat Pile,God’s Country,80,https://youtu.be/KcYBolH-j9c,https://www.albumoftheyear.org/album/507729-chat-pile-gods-country.php
Joey Bada$$,2000,70,https://youtu.be/I8RPsF-hdXo,https://www.albumoftheyear.org/album/503825-joey-badass-2000.php
Lil Uzi Vert,Red & White 🔴 ⚪,60,https://youtu.be/6bjliN6hJTs,https://www.albumoftheyear.org/album/525129-lil-uzi-vert-red-white.php
Jack White,Entering Heaven Alive,50,https://youtu.be/9NSOGd2p530,https://www.albumoftheyear.org/album/436664-jack-white-entering-heaven-alive.php
Rico Nasty,Las Ruinas,30,https://youtu.be/AOWmL1eydWI,https://www.albumoftheyear.org/album/507670-rico-nasty-las-ruinas.php
Superorganism,World Wide Pop,60,https://youtu.be/8EdqpZu9lkM,https://www.albumoftheyear.org/album/478181-superorganism-world-wide-pop.php
Lizzo,Special,60,https://youtu.be/rTEZmXq9K3k,https://www.albumoftheyear.org/album/485009-lizzo-special.php
black midi,Hellfire,90,https://www.youtube.com/watch?v=miR30bsSH4E,https://www.albumoftheyear.org/album/502843-black-midi-hellfire.php
Steve Lacy,Gemini Rights,70,https://youtu.be/zb8-aHiTKL4,https://www.albumoftheyear.org/album/515508-steve-lacy-gemini-rights.php
Ken Carson,X,NA,NA,https://www.albumoftheyear.org/album/494700-ken-carson-x.php
Wormrot,Hiss,80,https://m.youtube.com/watch?v=SgjDaPWjzuU,https://www.albumoftheyear.org/album/482363-wormrot-hiss.php
Metric,Formentera,70,https://www.youtube.com/watch?v=fA0nxixnS-A,https://www.albumoftheyear.org/album/499094-metric-formentera.php
Viagra Boys,Cave World,90,https://www.youtube.com/watch?v=jmHZvGMe8pQ,https://www.albumoftheyear.org/album/495835-viagra-boys-cave-world.php
Westside Gunn,"Peace ""Fly"" God",50,https://www.youtube.com/watch?v=dMhpDlUTT_U,https://www.albumoftheyear.org/album/516630-westside-gunn-peace-fly-god.php
Lupe Fiasco,DRILL MUSIC IN ZION,80,https://youtu.be/4-F6oFAFxa8,https://www.albumoftheyear.org/album/437215-lupe-fiasco-drill-music-in-zion.php
Zola Jesus,Arkhon,70,https://www.youtube.com/watch?v=wxcosSfLuoc,https://www.albumoftheyear.org/album/484798-zola-jesus-arkhon.php
Regina Spektor,"Home, before and after",60,https://www.youtube.com/watch?v=yU3kEaiC3gQ,https://www.albumoftheyear.org/album/473082-regina-spektor-home-before-and-after.php
Lupe Fiasco,Drill Music In Zion,80,https://youtu.be/4-F6oFAFxa8,https://www.albumoftheyear.org/album/437215-lupe-fiasco-drill-music-in-zion.php
Soccer Mommy,"Sometimes, Forever",70,https://www.youtube.com/watch?v=pWripUQP7v8,https://www.albumoftheyear.org/album/485059-soccer-mommy-sometimes-forever.php
Petrol Girls,Baby,90,https://youtu.be/n5251uGGWJQ,https://www.albumoftheyear.org/album/517001-petrol-girls-baby.php
Weezer,SZNZ: Summer,50,https://youtu.be/WeKOdwlfYhM,https://www.albumoftheyear.org/album/467393-weezer-summer.php
Perfume Genius,Ugly Season,70,https://www.youtube.com/watch?v=gI55UJ7UOVg,https://www.albumoftheyear.org/album/485254-perfume-genius-ugly-season.php
Krallice,Psychagogue,70,https://www.youtube.com/watch?v=b61CZuGy74E,https://www.albumoftheyear.org/album/516036-krallice-psychagogue.php
Leikeli47,Shape Up,80,https://youtu.be/rQopUHwvodQ,https://www.albumoftheyear.org/album/474247-leikeli47-shape-up.php
Logic,Vinyl Days,70,https://www.youtube.com/watch?v=7YhWLqIenz4,https://www.albumoftheyear.org/album/458005-logic-vinyl-days.php
Post Malone,Twelve Carat Toothache,30,https://www.youtube.com/watch?v=XbCNCpybfkE,https://www.albumoftheyear.org/album/462848-post-malone-twelve-carat-toothache.php
Angel Olsen,Big Time,70,https://www.youtube.com/watch?v=NrAlED63uXQ,https://www.albumoftheyear.org/album/487215-angel-olsen-big-time.php
070 Shake,You Can't Kill Me,60,https://www.youtube.com/watch?v=9It1YqWEGVk&ab_channel=theneedledrop,https://www.albumoftheyear.org/album/492415-070-shake-you-cant-kill-me.php
Artificial Brain,Artificial Brain,80,https://youtu.be/b__adVVw68c,https://www.albumoftheyear.org/album/509445-artificial-brain-artificial-brain.php
KayCyy,Get Used to It,40,https://youtube.com/watch?v=i5P7Mhli4AQ,https://www.albumoftheyear.org/album/386680-kaycyy-pluto-get-used-to-it.php
JER,Bothered/Unbothered,80,https://youtu.be/OeUTdHtfz5o,https://www.albumoftheyear.org/album/508858-jer-botheredunbothered.php
Ada Rook,UGLY DEATH NO REDEMPTION ANGEL CURSE I LOVE YOU,70,https://youtu.be/YFYkzUjgM_U,https://www.albumoftheyear.org/album/465522-ada-rook-ugly-death-no-redemption-angel-curse-i-love-you.php
Boldy James & Real Bad Man,Killing Nothing,70,https://youtu.be/lTdb0zc6VKY,https://www.albumoftheyear.org/album/496164-boldy-james-real-bad-man-killing-nothing.php
Gospel,The Loser,80,https://www.youtube.com/watch?v=zxaXgNJG3xk,https://www.albumoftheyear.org/album/494428-gospel-the-loser.php
Quelle Chris,DEATHFAME,70,https://www.youtube.com/watch?v=57Tjvv_pCXg,https://www.albumoftheyear.org/album/490492-quelle-chris-deathfame.php
Ethel Cain,Preacher's Daughter,60,https://youtu.be/oyLkPLnoDlo,https://www.albumoftheyear.org/album/482256-ethel-cain-preachers-daughter.php
Bad Bunny,Un Verano Sin Ti,60,https://www.youtube.com/watch?v=4CzhI0LMRtg,https://www.albumoftheyear.org/album/496273-bad-bunny-un-verano-sin-ti.php
